id,company,productName,salesPrice,tags
140,"UCB, Inc.",Theo-24,854.18,medicine
141,"Eastern Welding Supply, Inc",OXYGEN,659.11,pharmacy
142,"Fenwal, Inc.",ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),340.45,medicine
143,"H.J. Harkins Company, Inc.",Phentermine Hydrochloride,492.6,health
144,"Ingenus Pharmaceuticals, LLC",Metoprolol tartrate,432.83,medicine
145,Rebel Distributors Corp,Non-Habit Forming Stool Softener,570.35,pharmacy
146,Syntrion GmbH,SyDerm,107.34,pharmacy
147,"Nelco Laboratories, Inc.",White Oak,656.05,health
148,"ALK-Abello, Inc.",CENTER-AL - POA ANNUA POLLEN,593.55,pharmacy
149,"Source Naturals, Inc.",Allercetin,151.87,health
150,Harris Teeter,Childrens Allergy,700.28,medicine
151,"Preferred Pharmaceuticals, Inc.",Cephalexin,450.18,medicine
152,"Akrimax Pharmaceuticals, LLC",Tirosint,954.83,medicine
153,"Summit Industries, Inc.",Lantiseptic,226.13,pharmacy
154,Meijer Distribution Inc,Nicotine,660.73,health
155,Bausch & Lomb Incorporated,Neomycin and Polymyxin B Sulfates and Bacitracin Zinc,778.24,pharmacy
156,"Hahnemann Laboratories, Inc. dba Alpine Pharmaceuticals",HAHNEMANN COLDS,478.87,pharmacy
157,REMEDYREPACK INC.,Lisinopril,9.63,pharmacy
158,Alberto-Culver USA Inc.,St. Ives,422.17,pharmacy
159,PUR MINERALS,4 in 1 Pressed Mineral SPF 15 Light Tan,9.88,pharmacy
160,"DOLGENCORP, LLC",Extra Strength Pain Relief,211.32,health
161,"Gemini Laboratories, LLC",REPREXAIN,643.59,pharmacy
162,Hikma Pharmaceutical,Lisinopril,859.01,medicine
163,"Deseret Biologicals, Inc.",Bio Tonsilla Compositum,258.6,medicine
164,"Trigen Laboratories, Inc.",Ropinirole,411.38,health
165,"Papermates, Inc. dba Noteworthy",Pomegranate Rose Hand Sanitizer,556.64,pharmacy
166,EnviroKleen LLC,Envirokleen Non-Alcohol Instant Hand Sanitizer,156.46,pharmacy
167,AstraZeneca Pharmaceuticals LP,Vandetanib,773.92,health
168,"Nelco Laboratories, Inc.",Nectarine,246.9,health
169,Emilia Personal Care Inc.,Safe Harbor - Natural Sunscreen Face and Neck Cream Broad Spectrum SPF40 Sunscreen,336.93,pharmacy
170,"Roxane Laboratories, Inc",Zolpidem Tartrate,324.94,medicine
171,Unit Dose Services,Lidocaine Hydrochloride,551.63,pharmacy
172,Sandoz Inc,Ampicillin,700.66,pharmacy
173,"Morton Grove Pharmaceuticals, Inc.",Cimetidine Hydrochloride,565.78,health
174,Bristol-Myers Squibb/Sanofi Pharmaceuticals Partnership,Plavix,342.28,medicine
175,"Cintex Services, LLC",Benzoyl Peroxide,218.05,pharmacy
176,"SCOT-TUSSIN Pharmacal Co., Inc.",Scot-Tussin Expectorant SF Cough,545.92,pharmacy
177,Bausch & Lomb Incorporated,Soothe,797.42,pharmacy
178,B. Braun Medical Inc.,Sodium Chloride,489.98,health
179,Alaven Pharmaceutical LLC,Proctocream,844.82,health
180,Xerion Dispensary Ltd.,MOZI-Q,684.11,medicine
181,"Libertas Pharma, Inc.",Pramoxine hydrochloride,18.36,medicine
182,Accord Healthcare Inc.,Mycophenolate Mofetil,416.05,pharmacy
183,"Avon Products, Inc.",Clearskin Professional,351.69,pharmacy
184,"NCS HealthCare of KY, Inc dba Vangard Labs",Gabapentin,962.0,health
185,Aurobindo Pharma Limited,Amoxicillin,945.2,pharmacy
186,"Genentech, Inc.",Tamiflu,282.03,medicine
187,Qualitest Pharmaceuticals,Baclofen,540.54,pharmacy
188,"Allermed Laboratories, Inc.",Greasewood Pollen,689.81,medicine
189,SPAI-SONS PHARMACEUTICAL INTERNATIONAL COSMETICS,TK-NAX,402.32,health
190,"Donovan Industries, Inc",DawnMist Deodorant Bar No. 1/2,262.85,health
191,"Boca Pharmacal, LLC",Levetiracetam,922.77,health
192,"AvKARE, Inc.",Cephalexin,797.67,medicine
193,Laboratorios Quantium LLC,Valtrum US Soothing Topical Analgesic,773.72,health
194,Laboratoires Clarins S.A.,CLARINS BROAD SPECTRUM SPF 20 - SUNSCREEN CARE,147.79,pharmacy
195,CVS,Childrens Plus Cold Grape,913.43,medicine
196,Baxter Healthcare Corporation,Intralipid,957.59,pharmacy
197,Geri-Care Pharmaceutical Corp,CALCIUM CARBONATE EXTRA STRENGTH ANTACID,930.65,pharmacy
198,Aurobindo Pharma Limited,Duloxetine,556.01,health
199,"Newton Laboratories, Inc.",Muscle Ease,801.64,pharmacy
200,Pharmacia and Upjohn Company,Zyvox,37.63,health
201,Bryant Ranch Prepack,Buprenorphine HCl and Naloxone HCl,611.13,pharmacy
202,DENTSPLY Caulk,Topex,75.74,health
203,"Golden State Medical Supply, Inc.",Oxcarbazepine,667.89,medicine
204,"PD-Rx Pharmaceuticals, Inc.",Escitalopram,10.87,pharmacy
205,Seroyal USA,pharMAX varicose,551.04,pharmacy
206,"Aphena Pharma Solutions - Tennessee, LLC",Atenolol,393.2,pharmacy
207,Wockhardt Limited,Bupropion Hydrochloride,863.45,pharmacy
208,DOLGENCORP INC,DG Health Pain Relieving,83.12,pharmacy
209,"General Injectables and Vaccines, Inc.",Torsemide,235.67,medicine
210,HyVee Inc,ibuprofen,434.95,pharmacy
211,"Hospira, Inc.",Daptomycin,544.34,pharmacy
212,A-S Medication Solutions LLC,triamcinolone acetonide,639.79,health
213,"Nelco Laboratories, Inc.",Mesquite,321.52,medicine
214,Amerisource Bergen,good neighbor pharmacy nasal decongestant pe,246.9,pharmacy
215,Cardinal Health,Premarin,558.66,medicine
216,Lake Erie Medical DBA Quality Care Products LLC,Kadian,249.9,pharmacy
217,"Physicians Total Care, Inc.",Dobutamine,830.49,pharmacy
218,SuperValu (Equaline),Senna laxative,59.72,pharmacy
219,State of Florida DOH Central Pharmacy,Fluoxetine Hydrochloride,191.19,pharmacy
220,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,Depakote,999.82,medicine
221,BCM Ltd,No7 Protect and Perfect Intense Day Cream SPF 15,859.97,pharmacy
222,Hello Products LLC,Hello,972.33,pharmacy
223,"Aphena Pharma Solutions - Tennessee, LLC",Cymbalta,373.03,pharmacy
224,Amway Corp,"SATINIQUE ANTI-DANDRUFF for dry, irritated scalp",265.28,health
225,Citron Pharma LLC,Valacyclovir Hydrochloride,742.52,medicine
226,"Takeda Pharmaceuticals America, Inc.",Amitiza,842.89,pharmacy
227,Rebel Distributors Corp,Diovan,101.87,pharmacy
228,Sandoz Inc,Perphenazine,752.02,medicine
229,Cardinal Health,Childrens Chewable Aspirin,560.79,health
230,Amerisource Bergen,Good Neighbor Pharmacy Antacid,17.62,health
231,NorthStar RxLLC,Leflunomide,515.06,health
232,Major Pharmaceuticals,Alcohol Prep,482.1,pharmacy
233,King Bio Inc.,Guilt,687.73,medicine
234,"Hu-Friedy Mfg. Co., Inc.",Hand Essentials Instant Hand Antiseptic,582.06,medicine
235,McKesson,sunmark childrens all day allergy,12.56,pharmacy
236,New World Imports Inc,CAREALL Zinc Oxide,372.77,medicine
237,North Safety Products,North Cough Drop,70.49,medicine
238,Wockhardt Limited,Zoledronic Acid,933.98,health
239,Jakemans (Confectioners) Limited,Throat and Chest Berry Menthol,316.52,health
240,Ed Hardy Habit,Ed Hardy Habit Antiseptic Hand Sanitizing Wipe,769.12,health
241,"Avon Products, Inc.",True Force,181.52,medicine
242,"Team Technologies, Inc",Up and Up Sensitive Toothpaste Whitening,293.12,health
243,"ALK-Abello, Inc.",SACCHAROMYCES CEREVISIAE,441.11,pharmacy
244,"Matrixx Initiatives, Inc.",Zicam Cold Remedy,458.5,pharmacy
245,"Watson Laboratories, Inc.",Verapamil Hydrochloride,674.07,health
246,"Physicians Total Care, Inc.",Propafenone Hydrochloride,430.27,pharmacy
247,Heel Inc,Spascupreel,536.0,medicine
248,Lake Erie Medical DBA Quality Care Products LLC,Hydrocodone Bitartrate and Acetaminophen,104.44,pharmacy
249,sanofi-aventis U.S. LLC,Aplenzin,497.37,health
250,"Lifetech Resources, LLC",Bellagio Sunscreen SPF 30,690.84,health
251,"ALK-Abello, Inc.",XANTHIUM STRUMARIUM VAR CANADENSE POLLEN,351.25,health
252,"Avon Products, Inc.",Musk Fire,621.54,health
253,"Glenmark Generics Inc., USA",Pravastatin Sodium,860.48,pharmacy
254,"Lupin Pharmaceuticals, Inc.",SIMVASTATIN,796.63,health
255,AR Medicom Inc,Denti-Care Denti-Pro,246.52,health
256,Kamins Dermatologics Inc.,SUN DEFENSE SPF 15,987.22,medicine
257,"Antigen Laboratories, Inc.",Treatment Set TS331632,145.43,medicine
258,Unit Dose Services,Losartan Potassium,759.67,pharmacy
259,"Lupin Pharmaceuticals, Inc.",RABEPRAZOLE SODIUM,613.57,health
260,"Physicians Total Care, Inc.",Actos,677.53,health
261,Dr. Hauschka SkinCare Inc.,Ouch Aid,119.56,health
262,Guthy-Renker LLC,Proactiv Solution Deep Cleansing Wash,374.3,medicine
263,Dollar General,Antacid Antigas,15.01,pharmacy
264,Pfizer Consumer Healthcare,ADVIL,891.21,health
265,Rebel Distributors Corp,Warfarin Sodium,340.19,health
266,HomeopathyStore.com,Lab1796 Detox Escort,665.77,medicine
267,Greenbrier International,Instant Hand Sanitizer with moisturizers (Vitamin E and aloe),426.02,medicine
268,Topco Associates LLC,Topcare Nicotine,389.94,medicine
269,"The Wellness Center for Research and Education, Inc.",11 Thyroid Adrenal,527.55,health
270,Uriel Pharmacy Inc.,Pulsatilla Tormentilla,126.34,medicine
271,"Janssen Pharmaceuticals, Inc.",Haldol Decanoate,2.9,medicine
272,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",Aveeno Protect Plus Hydrate Sunscreen,256.8,medicine
273,Budpak Inc.,Triple Antibiotic,709.33,pharmacy
274,Topco Associates LLC,Topcare Daily Facial,485.06,health
275,Cardinal Health,Solu-Medrol,594.9,health
276,Reese Pharmaceutical Co,Refenesen Chest Congestion Relief,23.83,health
277,Cardinal Health,Olanzapine,884.33,medicine
278,Green Cross Corp,Hanbang Cataplasma,375.35,health
279,Novocol Inc.,Lidocaine,121.73,health
280,Mylan Pharmaceuticals Inc.,Tolmetin Sodium,276.75,health
281,Jubilant HollisterStier LLC,"Pollens - Weeds and Garden Plants, Cocklebur Xanthium strumarium",388.38,medicine
282,"Physicians Total Care, Inc.",Paroxetine Hydrochloride,771.74,pharmacy
283,Sandoz Inc,Azithromycin,955.07,health
284,"Physicians Total Care, Inc.",Acyclovir,524.11,health
285,"Onpoint, Inc.",Tartar control plus,586.95,health
286,"Golden State Medical Supply, Inc.",Cephalexin,895.03,pharmacy
287,"Breckenridge Pharmaceutical, Inc.",Granisetron Hydrochloride,587.42,pharmacy
288,Rebel Distributors Corp,Promethazine hydrochloride,368.16,medicine
289,Physician Therapeutics LLC,Therabenzaprine-60,69.75,medicine
290,Rite Aid Corporation,Acetaminophen,427.3,pharmacy
291,"Pharmaceutical Associates, Inc.",Valproic Acid,504.17,health
292,McKesson,Sunmark Nicotine,482.54,health
293,"ALK-Abello, Inc.",MEDICAGO SATIVA POLLEN,321.73,health
294,"NATURE REPUBLIC CO., LTD.",TRUFFLE EX CLEANSING,32.27,pharmacy
295,"APP Pharmaceuticals, LLC",Famotidine,607.9,pharmacy
296,The Mentholatum Company,Softlips Chocolate Bunny,192.19,pharmacy
297,Mylan Pharmaceuticals Inc.,Doxycycline,361.77,medicine
298,My Import Inc,Choice Personal Care Baby Fresh Scented Petroleum,856.34,medicine
299,Guthy-Renker LLC,Proactiv,642.49,pharmacy
300,"ALK-Abello, Inc.",PINUS ECHINATA POLLEN,42.39,pharmacy
301,Neutrogena Corporation,Neutrogena Oil Free Acne Wash,288.63,health
302,American Health Packaging,Ziprasidone Hydrochloride,987.08,health
303,Uriel Pharmacy Inc.,Phosphorus 30,395.93,medicine
304,"Arbonne International, LLC",Perfecting Liquid Foundation Alabaster,998.27,medicine
305,Procter & Gamble Manufacturing Company,Dolce and Gabbana The Lift Foundation Golden Honey 170,568.23,medicine
306,Best Choice,Tussin Sugar Free Cough,371.33,medicine
307,Zydus Pharmaceuticals (USA) Inc.,venlafaxine hydrochloride,561.86,medicine
308,Oral BioTech,CTx4 Gel 5000,615.0,medicine
309,Pfizer Laboratories Div Pfizer Inc,Vibra-Tabs,562.28,health
310,"Shopko Stores Operating Co., LLC",antacid,593.84,health
311,Apotheca Company,Parasite Detox,535.65,pharmacy
312,"Carver Korea Co.,Ltd",Supreme Shield,435.27,pharmacy
313,"THEFACESHOP CO., LTD.",PHYTOGENIC INFINITE FOUNDATION,931.04,medicine
314,"AMCOL Health and Beauty Solutions, Inc.",age renewal deep wrinkle moisturizer,420.79,medicine
315,"Fresenius Kabi USA, LLC",Tobramycin,950.85,health
316,Capricorn Pharma Inc.,Junior Strength Pain Relief,956.22,health
317,"Upsher-Smith Laboratories, Inc.",Morphine Sulfate,370.35,pharmacy
318,CVS Pharmacy,Antibacterial,380.41,health
319,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,benzonatate,694.71,health
320,Cardinal Health,Olanzapine,611.31,medicine
321,Ranbaxy Pharmaceuticals Inc.,amoxicillin and clavulanate potassium,619.46,health
322,CA-BOTANA INTERNATIONAL,UMBRELLA,373.04,health
323,Sagent Pharmaceuticals,Ropivacaine Hydrochloride,307.93,pharmacy
324,Purdue Pharma LP,MS Contin,43.17,health
325,WALGREEN CO.,DayTime Cold Multi-Symptom,801.12,pharmacy
326,CHANEL PARFUMS BEAUTE,VITALUMIERE AQUA,709.65,medicine
327,"Physicians Total Care, Inc.",Baclofen,257.24,health
328,Jubilant HollisterStier LLC,"Pollens - Grasses, Johnson Grass Sorghum halepense",885.59,health
329,"Roxane Laboratories, Inc",Zolpidem Tartrate,197.26,health
330,The Mentholatum Company,Softlips Jack Frosting,792.44,health
331,"Dong Sung Pharm. Co., Ltd.",a.c.care Bees Shield B.B Cream,641.97,health
332,Cardinal Health,Leader,342.19,medicine
333,Jubilant HollisterStier LLC,"Pollens - Trees, Alder, Red Alnus rubra",281.03,health
334,Wal-Mart Stores Inc,Ibuprofen,562.09,pharmacy
335,REMEDYREPACK INC.,Venlafaxine Hydrochloride,590.75,medicine
336,"Novartis Consumer Health, Inc.",Triaminic,434.23,health
337,"Dolgencorp, Inc. (DOLLAR GENERAL & REXALL)",Ibuprofen,613.11,health
338,Jubilant HollisterStier LLC,"Food - Fish and Shellfish, Tuna Thunnus sp.",901.1,medicine
339,American Sales Company,careone milk of magnesia,445.21,health
340,"Med-Health Pharma, LLC",Sertraline Hydrochloride,978.64,pharmacy
341,Sam's West Inc,Mucus Relief,181.34,medicine
342,Bausch & Lomb Incorporated,Diclofenac Sodium,33.6,pharmacy
343,HyVee Inc,Hemorrhoidal,306.7,pharmacy
344,KAISER FOUNDATION HOSPITALS,Lisinopril,455.79,pharmacy
345,"Nelco Laboratories, Inc.",Carelessweed,271.67,pharmacy
346,"Hospira, Inc.",Ondansetron,647.9,health
347,STAT RX USA LLC,MELOXICAM,786.46,pharmacy
348,Publix Super Markets Inc,allergy relief,687.27,medicine
349,"PD-Rx Pharmaceuticals, Inc.",Fluconazole,33.18,pharmacy
350,Virtus Pharmaceuticals LLC,Losartan Potassium,516.73,medicine
351,Ambercare Medical Supply Co.,Oxygen,979.39,health
352,Cardinal Health,VALACYCLOVIR HYDROCHLORIDE,48.96,medicine
353,REMEDYREPACK INC.,COUMADIN,13.54,medicine
354,Sanum Kehlbeck GmbH & Co. KG,Pleo Ut S,271.2,pharmacy
355,Kroger co,Medicated Apricot Scrub,538.36,health
356,"Salix Pharmaceuticals, Inc.",METOZOLV,260.07,pharmacy
357,Rite Aid Corporation,anti itch,483.33,medicine
358,"Deseret Biologicals, Inc.",Pyrrole,145.37,pharmacy
359,Procter & Gamble Manufacturing Co.,Head and Shoulders Conditioner,526.58,pharmacy
360,Apotheca Company,Fungustat,3.66,pharmacy
361,Space Brands Limited,Eve Lom Radiance Perfected Tinted Moisturiser SPF 15,147.07,health
362,Ranbaxy Pharmaceuticals Inc.,Doxycycline,133.03,pharmacy
363,"Nelco Laboratories, Inc.",Oregon Ash,341.58,medicine
364,"Antigen Laboratories, Inc.",Treamtent Set TS347738,758.58,medicine
365,"Shaoxing Fuqing Health Products Co., Ltd.",Full Care Povidone Iodine Solution,14.03,health
366,"Antigen Laboratories, Inc.",Treatment Set TS345050,52.7,health
367,Cintas,Antacid,784.29,health
368,"Dr. Fresh, Inc",Baby SensiGel Night Time Formula,774.81,health
369,Bryant Ranch Prepack,PLENDIL,183.53,pharmacy
370,REMEDYREPACK INC.,Ondansetron Hydrochloride,409.09,pharmacy
371,"BioActive Nutritional, Inc.",Envirotox,401.81,health
372,"Inel Cosmetics Co., Ltd.",IPKN ARTISTS TOUCH BB 01 LIGHT,832.54,health
373,Kao Brands Company,Ban,982.89,health
374,Natural Health Supply,Menstrual Muscle Cramps,123.34,medicine
375,"Physicians Total Care, Inc.",Verelan,561.0,medicine
376,Publix Super Markets Inc,Childrens Allergy,815.03,medicine
377,"AAA Pharmaceutical, Inc.",Diphenhydramine,688.13,health
378,Best Choice,Antacid Antigas,12.09,medicine
379,REMEDYREPACK INC.,SELZENTRY,689.91,health
380,Major Pharmaceuticals,Metoprolol Tartrate,814.83,pharmacy
